X;Y;Z
12.64;1.7;6.3
22.57;1.64;6.88
15.54;2.49;6.76
10.06;2.7;6.64
16.44;0.63;1.78
13.2;1.66;1.98
11.38;0.69;2.54
11.99;2.6;1.68
17.1;1.64;1.61
17.42;1.72;1.63
12.63;0.76;2.7
18.57;1.35;6.41
11.89;1.09;2.39
17.31;1.95;6.67
11.9;2.24;1.86
9.96;0.8;6.25
9.9;0.61;2.05
15.46;1.93;1.64
17.17;2.1;1.45
12.57;0.76;2.6
17.17;1.38;1.66
20.59;2.36;6.89
15.17;1.89;1.65
11.85;0.89;2.54
15.98;1.67;1.63
19.34;0.51;5.84
16.38;2.22;1.51
15.3;1.42;6.55
20.54;2.36;6.88
21.34;2.34;6.88
17.88;1.51;6.55
19.99;0.48;5.87
14.08;1.75;1.91
22.55;1.22;6.83
14.59;0.75;2.08
11.87;1.62;2.06
11.53;2.98;1.66
14;1.7;1.83
13.27;0.89;2.53
20.62;1.34;1.73
21.47;0.22;6.33
12.07;0.19;2.8
16.54;1.18;1.69
18.55;2.32;1.49
10.53;1.67;1.91
19.17;1.74;1.71
13.27;1.29;6.09
17.12;0.91;1.88
18.47;2.37;1.37
13.93;1.41;1.98
13.95;1.76;1.89
9.77;2.91;6.63
15.2;1.34;1.73
13.38;1.16;5.98
18.47;1.38;1.81
11.21;1.54;6.2
16.75;2.09;1.54
10.5;0.86;2.19
17.82;1.04;6.37
15.47;1.57;6.52
21.99;1.07;6.69
15.15;0.52;1.93
18.92;1.41;1.9
13.98;1.93;1.83
10.26;2.46;6.61
18.31;0.8;6.15
10.05;1.62;6.49
18.6;2.89;1.34
20.09;0.52;2.27
18.41;2.39;1.36
21.19;2.23;1.26
10.61;1.22;6.3
10.41;2.41;1.73
19.86;1.49;1.76
15.89;1.35;6.41
12.56;1.19;2.48
21.44;0.71;6.25
14.2;0.7;2.23
19.95;1.09;1.98
22.51;0.85;1.38
22.5;1.48;1.27
17.23;0.85;1.9
19.99;1.65;6.52
9.94;1.6;6.3
19.94;1.17;6.17
9.88;2.39;6.59
17.2;0.76;6.19
10.57;0.54;6.07
21.88;2;1.24
11.55;1.04;6.01
15.18;2.41;6.8
13.26;2.19;1.71
14.65;0.47;6.15
16.44;2.28;6.75
11.89;0.5;5.57
14.69;0.59;6.11
21.91;1.59;6.79
21.74;2.53;1.15
13.95;1.11;2.12
17.9;1.7;6.62
9.62;0.13;1.86
16.51;1.83;1.54
11.28;2.25;6.47
13.91;1.96;1.72
10.55;1.95;6.54
15.21;0.54;2.01
13.33;0.57;5.68
13.95;0.5;2.39
21.17;2.28;1.24
20.78;2.19;6.78
20.66;1.39;6.44
17.81;1.43;6.59
17.3;1.3;6.55
16.64;2.14;6.79
22.37;0.54;1.47
11.16;1.34;2.14
22.6;1.17;6.73
14.71;1.33;6.41
15.34;1.04;6.47
14.65;1.86;6.46
21.29;1.36;6.59
20.54;1.36;1.73
17.94;1.66;6.44
17.61;0.56;1.99
11.24;1.03;6.04
13.26;1.62;2
9.99;2.25;6.5
11.84;0.73;5.76
10.54;1.61;1.93
21.25;0.94;1.73
18.5;1.02;2.13
15.3;1.08;6.23
21.42;0.78;6.33
15.23;1.24;1.75
15.75;1.07;1.72
15.35;1.65;6.61
16.21;1.32;6.57
13.86;0.73;2.32
13.97;1.93;1.74
14.05;0.8;5.93
15.95;1.66;6.66
9.75;2.34;6.58
13.49;1.03;2.39
15.59;1.28;1.65
21.86;1.23;1.42
18.6;1.15;6.31
17.25;1.25;6.39
15.29;1.38;6.54
21.27;1.33;6.52
17.68;1.65;6.55
12.74;0.65;5.59
14.75;1.16;1.8
12.18;2.34;1.74
10.56;2.27;1.89
19.17;1.67;6.52
22.47;2.76;1.15
15.28;0.76;6.36
21.24;1.49;1.52
11.85;0.79;2.62
12.62;1.06;5.87
16.57;0.75;1.76
15.18;2.01;6.62
15.98;1.95;6.73
17.79;2.99;1.37
11.93;1.75;6.32
21.31;1.73;6.74
21.22;1.38;1.56
13.28;2.44;6.63
18.45;2.3;1.49
10.71;1.98;6.55
11.16;0.57;2.56
12.78;0.22;5.55
15.22;2.35;6.79
19.92;2.34;1.33
22.35;0.78;6.66
11.26;0.75;2.47
22.62;2;6.96
22.36;2.05;6.89
15.16;1.61;6.54
13.65;1.88;1.85
17.2;2.38;1.62
11.61;0.84;5.97
18;2.33;6.83
15.68;0.14;6.45
22.53;0.65;6.75
18.66;1.7;6.46
14.74;1.39;6.36
11.94;0.55;5.61
10.51;2.3;1.87
20.28;1.96;6.72
15.97;1.38;6.59
11.3;1.69;6.36
15.95;0.26;6.37
22.66;0.75;6.79
15.85;1.47;1.64
22.49;2.27;1.26
14.69;1.99;6.66
11.6;0.66;2.41
15.86;2.61;6.82
11.28;1.5;2.13
14.65;0.45;6.14
22.47;2.4;1.12
21.33;0.65;6.36
10.39;0.33;2.23
17.24;1.05;1.79
22.54;1.3;6.72
16.72;1.29;1.6
21.72;1.45;6.72
9.9;0.67;2.04
15.96;1.16;6.53
21.85;1.27;1.42
13.86;1.37;2.08
13.88;2.46;1.62
21.41;0.74;6.4
10.04;1.61;6.49
19.8;1.01;2.05
21.39;0.59;6.32
17.99;1.04;6.36
13.92;1.67;1.87
13.59;2.91;6.72
22.53;1.9;6.84
14;2.16;6.57
15.15;0.61;1.95
21.29;1;1.68
9.98;0.95;6.35
21.23;1.96;6.81
13.97;2.33;1.62
22.64;1.31;6.8
22.27;2.49;1.11
14.14;2.08;6.55
13.31;0.79;2.56
10.67;2.47;6.61
13.94;1.7;1.88
17.33;0.74;6.37
22.65;1.36;6.85
11.91;0.45;5.59
12.47;0.23;2.87
17.6;1.46;1.76
14.65;1.96;6.65
11.77;2.8;6.66
18.55;2.31;1.39
22.42;1.66;1.3
22.38;0.64;6.65
17.69;0.73;1.9
22.47;0.93;1.46
15.25;1.9;6.66
15.97;0.68;6.47
12.65;1.63;6.26
17.17;1.67;1.81
12.6;1.77;2.03
17.16;2.31;1.4
11.25;1.37;6.18
16.49;1.35;1.88
12.55;2.38;6.65
10.56;0.54;6.03
20.56;2.22;6.81
13.1;2.2;6.55
15.92;0.52;6.35
16.04;1.38;6.56
11.19;0.91;5.93
19.49;1.16;6.14
15.11;1.98;1.58
17.26;1.33;6.55
12.59;1.05;2.45
21.28;1.98;1.42
11.94;1.92;6.45
21.83;1.86;6.75
9.89;1.65;1.86
16.51;1.98;1.5
10.13;2.76;6.65
22.47;2.29;1.13
16.48;1.16;1.68
21.88;2.21;6.95
15.46;1.5;1.67
21.89;1.35;1.4
16;1.33;6.59
10.07;1.84;1.79
17.25;1.18;6.42
18.29;2.34;1.38
10.57;2.37;1.7
15.99;1.25;6.5
11.17;0.57;2.49
15.99;2.7;1.4
13.32;1.03;2.36
17.25;0.56;6.36
21.9;1.74;1.3
21.01;2.68;1.25
10.59;0.57;2.25
14;0.79;2.23
11.15;0.52;2.57
21.32;1.81;6.77
21.26;1.86;6.65
13.95;0.51;2.39
10.63;1.13;6.27
15.93;1.04;1.72
20.01;2.66;6.92
13.95;1.05;2.15
22.59;1.74;6.9
20.83;2.53;6.88
17.8;1.1;1.87
13.38;1.34;2.1
12.57;2.65;1.66
11.83;1.5;2.18
15.94;0.72;6.48
9.73;1.36;6.54
12.56;1.05;2.45
9.95;1.67;6.26
15.08;2.84;6.77
20.44;1.61;6.45
16.49;1.22;1.8
13.92;0.72;2.29
11.89;2.61;6.67
9.9;1.95;1.8
9.97;1.43;1.92
17.92;1.68;6.4
18.47;0.84;2.08
13.57;1.04;6.02
19.96;0.58;5.85
13.35;0.64;5.74
17.95;2.37;6.62
14.09;1.65;6.44
10.6;0.46;6.05
17.04;1.95;6.77
15.94;1.06;6.55
17.9;1.6;6.58
12.65;1.05;5.87
19.24;0.85;6.04
17.23;1.99;6.51
17.95;2.4;6.62
16.5;0.47;1.88
21.9;1.95;1.28
13.33;1.83;6.42
13.96;1.99;1.69
21.55;2.01;6.83
20.54;2.37;6.79
17.9;1.37;1.74
22.44;2.4;1.12
15.85;0.82;1.81
21.28;1.8;6.67
20.49;1.34;1.75
14.95;2.44;1.53
9.78;2.98;1.72
18.69;1.64;6.47
21.33;2.71;1.23
19.83;2.18;1.39
20.69;1.55;6.45
16.07;1.14;6.45
16.44;0.74;1.85
14.73;2.24;6.76
15.23;0.6;2.02
15.27;0.95;6.3
19.96;0.72;6.02
10.49;1.53;2.04
13.22;2.18;1.71
10.28;0.59;1.99
21.25;1.96;6.81
15.82;0.74;1.83
21.94;2;1.27
20.46;1.98;1.43
16.57;0.95;6.5
14.58;2.36;1.75
21.26;1.98;6.83
14.78;1.7;1.74
16.96;2.51;1.44
10.36;2.23;1.8
13.9;1.23;2.1
18.48;1.41;1.77
10.52;1.66;1.92
10.84;0.79;6.03
20.57;3.01;1.24
19.44;0.92;6.04
12.6;1.02;5.84
13.88;1.78;1.81
12.51;1.98;1.97
17.2;2.35;1.58
15.27;1.03;6.27
22.52;1.06;1.32
18.34;2.37;1.41
16.09;0.22;6.4
13.61;2.62;1.6
11.17;1.26;2.17
16.43;0.7;1.76
17.86;0.93;6.21
15.36;1.05;6.48
14.66;0.56;6.08
12.43;1.6;2.18
14.59;2.27;1.66
17.07;1.64;1.59
13.94;1.2;2.18
15.94;1.96;6.51
22.5;2.38;1.33
21.89;2.31;1.15
16.52;0.49;1.83
14.28;0.3;2.15
13.22;1.26;6.06
21.73;0.33;1.69
17.13;1.5;1.66
22.54;1.04;1.33
13.62;2.79;6.73
16.64;2.23;6.75
15.96;1.85;6.55
10.03;2.28;6.64
18.53;1.83;6.56
13.94;1.7;1.87
17.92;0.28;6.11
13.45;2.47;6.65
21.38;2.98;6.96
10.62;1.95;6.54
18.2;2.58;1.38
11.16;0.46;2.54
17.92;2.05;6.76
22.59;0.56;6.74
11.84;0.95;2.49
14.59;1.98;6.65
14.56;1.62;1.94
13.94;1.12;2.11
17.86;1.04;6.16
16.17;1.28;1.59
20.51;2.02;1.39
16.16;2.94;6.8
9.7;0.55;2.07
10.54;1.51;1.96
22.47;1.39;1.29
20.16;1.18;6.16
20.6;2.08;6.8
10.6;1.65;1.96
17.92;2.35;6.84
18.55;1.14;6.31
22.57;1.03;6.82
22.57;0.7;6.6
21.85;1.35;1.4
11.84;2.38;1.9
16.52;0.69;1.77
20.58;1.99;6.74
18.36;0.12;2.06
21.61;0.33;1.62
15.25;1.98;1.79
16.75;2.38;6.81
12.78;1.53;6.1
10.6;0.7;6.15
9.96;1.41;6.42
13.26;2.37;1.84
21.94;1.34;6.75
15.97;0.67;6.47
10.55;2.22;1.73
13.83;1.92;1.74
18.41;0.18;6.02
19.33;1.38;6.41
11.28;1.48;6.26
15.28;2.32;6.78
16.61;2.05;6.77
17.97;2.36;6.65
21.94;2.28;6.83
15.88;1.59;1.62
11.86;2.32;1.88
18.64;2.71;1.36
11.18;1.71;2.02
12.58;0.51;2.82
21.89;2.3;6.81
22.56;1.08;1.53
10.6;1.64;6.44
22.49;1.33;1.29
14.56;1.5;1.84
19.25;2.24;6.8
20.56;1.28;1.78
11.84;0.77;2.64
17.24;0.45;6.31
22.62;2.29;6.94
14.06;0.35;2.42
10.29;1.28;6.47
14.69;0.28;2.05
16.57;2.34;6.82
9.97;1.57;6.48
11.14;1.24;2.19
20.49;0.79;2.01
11.24;2;1.82
20.55;1.22;1.81
17.15;0.95;1.95
17.8;1.08;6.34
13.96;1.31;2.02
10.71;1.67;2
18.48;1.42;1.77
16.51;1.14;1.73
14.61;1.58;1.77
21.34;1.97;6.83
15.84;1.62;6.7
15.8;1.05;6.48
16.6;1.09;6.55
22.47;1.46;1.28
22.47;2.38;1.12
11.91;0.44;5.58
21.32;0.72;6.39
18.56;1.92;6.68
19.95;1.17;6.24
14.14;2.03;1.74
15.92;0.7;6.48
10.55;1.96;6.55
13.35;1.92;6.49
18.47;2.23;1.41
14.06;0.73;2.43
14.16;1.85;1.82
16.57;0.78;1.84
11.94;1.36;5.9
11.14;1.22;2.33
13.38;1.08;5.97
11.14;0.64;2.58
14.68;1.35;6.43
20.48;1.13;6.35
15.94;1.99;6.74
10.51;0.76;2.24
22.32;0.13;6.75
18.51;2.36;1.37
17.35;2.84;1.4
20.69;0.74;6.08
11.19;1.06;6.08
16.64;1.02;6.52
21.14;2.38;1.43
18.5;0.88;2.06
13.36;1.63;6.31
16.47;1.38;1.64
10.59;1.95;6.33
15.17;1.37;1.89
21.21;1.61;1.47
9.97;1.45;6.46
20.52;1.78;1.52
10.57;0.14;6
14.62;0.55;6.14
19.98;1.28;6.15
18.48;0.88;2.1
11.16;2.49;1.67
11.17;2.08;1.78
14.57;0.78;6.24
19.49;2.44;6.82
13.18;2.9;6.74
21.48;2.62;6.93
17.81;1.15;1.89
22.42;0.96;1.36
11.19;1.81;1.91
18.41;1.64;1.67
9.89;0.47;2.11
15.94;1.31;6.38
15.73;1.95;1.62
21.14;0.14;1.97
13.29;0.99;2.41
9.97;0.78;6.3
10.57;0.47;6.03
21.26;1.88;6.79
17.91;2.11;6.73
12.74;2.14;6.47
11.93;1.38;6.11
16.01;1.95;6.73
15.21;1.66;1.65
13.32;1.29;5.94
18.43;2.91;1.35
13.4;1.41;6.18
17.14;1.64;1.81
10.02;2.86;1.66
12.57;1.71;6.31
18.5;1.34;6.3
18.74;0.83;6.03
17.25;1.08;6.49
21.32;1.07;1.89
12.62;1.52;6.08
12.58;0.56;2.73
17.91;1.69;6.62
15.82;2.24;1.47
17.46;0.7;6.46
19.98;0.5;5.89
17.67;1.8;6.6
12.66;1.42;2.2
15.7;1.99;1.59
17.7;2.47;6.8
22.81;2.31;1.15
11.14;1.52;6.19
10.55;1.29;6.14
19.77;1.56;6.35
17.98;1.63;6.59
20.64;1.51;6.51
13.95;1.21;2.08
16.49;1.83;1.64
21.22;2.27;6.89
19.23;0.98;6.12
21.86;1.64;1.33
17.17;2.06;1.46
18.51;1.48;1.74
20.65;1.42;6.47
17.15;1.99;6.69
19.54;2.34;6.79
12.64;0.79;5.59
15.96;1.29;1.74
13.93;1.66;1.86
10.8;0.75;6
22.59;0.6;6.62
20.6;2.12;6.81
10.55;1.03;2.22
21.31;1.3;6.58
18.32;0.8;2.07
17.3;0.73;6.36
11.22;0.87;5.94
15.31;1.66;6.61
10.49;2.35;1.72
22.59;1.9;1.3
10.4;0.51;2.22
15.85;1.35;6.59
10.06;2.36;6.62
16.56;2.33;6.65
15;1.96;1.68
15.12;0.54;6.29
16.12;2.2;6.72
10.62;1.88;6.34
13.3;2.27;1.66
17.84;2.38;6.85
14.53;0.14;6.21
16.45;0.19;6.45
22.42;1.03;1.36
9.74;2.23;6.58
21.3;1.13;6.52
19.04;2.92;6.88
15.94;1.08;6.55
12.52;0.66;2.77
17.19;0.76;6.43
16.65;2.8;6.81
15.98;1.25;6.52
15.22;1.68;6.61
19.09;1.95;1.56
22.45;0.97;1.36
17.8;1.64;1.62
16.36;2.8;1.44
17.27;0.76;6.42
15.22;0.52;1.99
18.58;1.77;6.56
15.33;1.03;6.26
15.76;1.08;1.79
17.25;1.35;6.56
22.35;0.14;1.45
10.45;1.04;2.29
15.15;1.3;1.76
11.97;1.84;6.4
20.65;1.69;6.61
18.48;1.08;1.93
11.86;0.72;2.67
12.53;1.36;2.25
14;0.43;2.41
14.62;0.69;6.11
10.02;1.69;6.42
15.13;0.28;6.27
10.09;0.17;6.2
13.92;0.69;2.38
20.55;1.65;1.58
14.64;0.49;6.15
9.98;0.95;6.35
19.17;1.16;1.96
14.56;0.78;6.24
22.6;1.56;1.21
11.15;1.8;2.01
13.42;2.66;1.61
17.22;1.98;6.54
14.85;1.23;6.5
20.61;0.64;2.06
22.59;2.18;1.14
18.56;1.7;6.58
20.6;2.08;6.8
11.21;2.06;1.79
10.49;1.58;1.94
22.53;2.34;1.25
17.26;1.34;6.55
17.74;2.36;1.44
16.51;1.18;1.68
10.63;1.97;6.33
21.35;0.58;6.26
15.94;1.65;6.65
22.47;2.22;1.15
21.19;2.06;1.3
15.14;2.37;1.54
15.77;2.14;1.57
15.93;1.04;6.54
21.86;0.42;1.61
9.98;2.05;6.6
12.56;1.41;2.21
11.18;1.12;2.24
15.83;1.08;1.71
17.94;0.94;1.91
19.25;1.39;6.32
17.19;2.81;6.82
12.58;2.38;6.56
15.86;1.44;1.65
13.43;1.99;6.43
11.27;1.65;6.35
14.76;2.2;6.68
11.59;1.1;2.34
12.61;2.38;6.64
13.92;1.89;1.75
11.94;1.16;5.93
14.64;2;6.66
13.34;0.52;5.66
14.72;1.93;6.49
15.26;0.63;1.98
10.61;1.68;6.45
15.86;1.66;1.6
12.17;1.77;6.25
15.24;2.39;6.8
18.38;1.4;1.88
15.31;1.63;6.6
22.49;1.44;1.28
17.9;1.62;6.59
10.95;0.13;6.06
12.71;0.5;5.5
15.85;0.85;1.79
17.93;2.04;6.76
11.16;0.43;5.79
13.31;1.69;1.95
16.71;1.43;1.62
10.6;1.62;1.93
16.6;1.39;6.57
18.56;1.05;6.27
15.89;0.52;6.43
15.85;0.89;6.52
18.56;1.42;1.88
22.5;0.79;6.78
17.93;2.35;6.84
17.36;1.99;6.75
14.52;2.41;1.51
18.58;1.29;1.8
22.54;2.39;1.26
10.52;1.7;1.9
18.41;1.08;1.92
20.28;1.14;6.34
17.2;0.62;6.39
21.85;1.08;1.45
21.21;1.42;1.54
15.15;0.6;1.91
17.28;0.12;1.93
11.93;1.06;5.91
17.16;0.78;6.45
12.62;1.35;6.06
22.51;1.52;1.39
16.51;0.6;1.92
10.58;1.34;6.12
13.86;2.27;1.64
16.61;1.04;6.53
13.97;0.52;2.46
19.24;2.19;6.71
22.61;0.33;1.33
10.36;3.01;1.71
21.31;1.38;6.6
17.17;2.05;1.46
19.17;1.69;1.71
9.65;1.94;1.88
15.28;0.94;6.42
12.48;0.98;2.56
9.97;2.15;6.62
15.94;1.21;6.44
17.21;0.72;6.42
9.72;1.17;1.87
17.1;2.86;6.82
22.6;0.54;6.69
10.47;2.31;1.71
18.47;0.86;2.16
11.09;0.61;2.54
13.26;1.58;2.03
15.34;1.04;6.39
16.81;2.13;1.47
11.37;1.08;6.02
11.8;0.11;2.83
14.61;1.99;6.65
11.31;2.39;6.4
16.53;1.25;1.8
18;2.4;6.85
11.08;1.79;6.34
13.26;1.6;2.01
15.19;2.4;6.71
21.9;0.68;1.71
14.44;1.88;6.52
14.53;2.17;1.57
13.98;1.37;1.99
12.63;0.75;2.6
16.55;1.59;6.5
17.82;0.71;1.94
21.19;0.7;1.87
18.48;2.21;1.41
17.15;1.47;1.71
11.17;1.9;6.37
20.66;0.61;2.2
22.63;1.68;6.89
21.12;2.4;1.22
17.98;1.91;1.6
12.64;2.23;6.59
15.16;1.94;6.6
13.32;1.95;6.5
15.38;1.66;6.62
12.01;1.66;2.16
21.3;1.98;6.83
15.89;2.92;1.46
14.61;1.65;1.75
20.5;1.81;1.51
11.17;0.62;2.46
16.24;1.29;6.65
11.29;0.95;2.35
10.63;1.67;6.44
21.91;0.75;1.5
21.32;1.19;6.54
17.82;1.71;1.62
12.79;1.42;6.02
22.37;2.15;6.9
18.37;1.99;1.59
21.34;1.18;6.43
14.6;1.39;6.43
18.56;1.91;6.68
10.65;1.83;6.5
21.36;1.24;6.41
14.42;2.96;6.75
17.96;0.33;6.12
13.32;1.19;5.95
20.62;2.05;6.79
22.5;0.94;1.5
14.61;2.27;6.71
10.94;1.72;6.46
12.61;1.2;2.45
10.45;1.08;2.08
17.24;0.48;6.33
11.24;1.92;2.03
15.26;2.37;6.79
17.2;0.66;6.24
21.2;1.61;1.47
18.49;1.52;1.81
14.73;0.78;6.19
18.51;1.54;1.82
13.81;1.13;2.23
21.93;1.32;1.53
16.45;1.98;1.5
13.24;1.97;6.51
17.35;0.3;6.37
20.73;0.97;6.25
18.5;0.91;2.04
21.93;0.65;1.67
11.17;1.05;2.28
12.65;1.49;6.09
13.23;2.16;1.71
19.29;2.24;6.71
16.01;1.38;6.52
17.9;1.45;6.53
13.34;1.18;5.95
16.1;0.36;1.69
13.61;1.31;6.14
16.62;1.07;6.54
15.2;2;1.56
17.33;0.5;6.33
14.59;0.83;6.26
22.48;1.39;1.29
16.51;0.61;1.9
9.73;1.52;6.54
12.64;1.35;6.06
13.28;0.87;2.53
15.35;1.07;6.48
21.33;1.63;6.7
13.3;0.93;5.88
11.88;2.34;1.71
18.67;2.15;1.5
15.35;0.64;6.5
14.5;2.19;6.64
9.97;1.7;6.5
11.09;1.22;6.24
18.03;2.6;1.39
22.65;0.75;6.72
16.54;1.23;1.67
15.28;0.86;6.4
20.55;1.39;1.72
21.1;2.39;1.22
15.19;2.38;1.52
10.58;2.24;1.82
17.87;1.33;6.49
21.79;1.39;1.41
22.51;1.69;1.5
19.84;0.31;5.98
17.23;1.37;6.57
17.91;2.12;6.77
15.97;1.26;6.43
21.98;1.04;6.68
10.66;1.84;6.49
19.89;1.39;6.25
16.59;1.7;1.61
11.86;1.7;2.01
10.88;1.12;6.23
10.01;2.23;6.57
11.15;0.56;2.58
9.96;1;6.37
22.59;2.91;6.98
20.6;2.17;6.83
11.93;1.24;6.02
21.95;0.92;6.63
15.93;0.68;6.47
21.35;2.82;1.22
15.85;2.39;1.43
14.01;1.35;2.04
11.92;0.74;5.76
15.28;2.13;6.74
13.13;1.29;6.12
22.36;2.4;1.12
16.52;1.21;1.77
13.03;1.55;6.25
21.37;0.5;6.27
20.66;1.4;6.45
10.48;1;2.12
14.62;1.99;6.65
21.37;0.45;6.3
11.12;1.22;2.3
21.91;1.98;1.25
20.71;1.57;1.68
19.94;1.06;2.11
21.87;1.2;1.55
10.52;1.38;2
17.25;0.44;6.32
9.86;1.96;1.79
22.59;0.6;6.75
20.21;0.93;6.12
19.27;1.08;6.2
22.49;0.74;1.41
22.54;1.25;6.8
16.6;1.01;6.34
10.64;1.37;6.21
22.67;0.28;6.7
21.16;2.21;1.26
17.23;0.5;6.34
17.17;1.69;1.82
11.12;0.58;2.49
14.61;1.73;6.56
22.5;0.87;1.39
16.52;1.35;1.87
11.31;1.7;6.37
16.53;1.95;1.72
21.14;1.69;1.56
17.2;0.31;1.96
11.97;1.21;6
11.03;1.33;6.29
11.95;1.09;2.45
15.95;1.35;6.36
14.64;1.9;6.63
18.48;1.43;1.77
12.56;1.95;1.86
15.29;2.34;6.79
22.2;0.86;6.85
16.81;0.79;1.73
18.46;1.56;1.86
11.78;2.07;1.86
17.51;0.76;6.34
17.17;1.7;1.58
16.56;1.54;6.57
18.49;1.65;1.66
18.48;2.37;1.59
15.92;0.51;6.43
14.65;1.74;6.55
21.8;0.68;1.55
21.25;1.8;6.76
21.29;1.96;6.83
18.48;2.31;1.38
13.33;1.85;6.44
10.53;1.36;2.01
16.5;1.73;1.56
15.86;2.25;1.46
13.42;1.99;6.47
19.98;1.3;6.15
12.55;1.91;2.05
9.78;1.13;6.47
16.95;0.17;6.54
10.6;0.57;6.1
10.53;1.3;6.17
18.51;0.59;5.99
21.4;2.33;1.27
22.09;1.24;6.67
22.43;2.33;1.13
14.06;2.32;1.63
13.94;1.05;2.15
